Counter,AvgRuntime(sec),MsgTimeMin(ms),MsgTimeMax(ms),MsgTimeMean(ms),MsgTimeStd(ms),AvgBandwidth(msg/sec),TimeStamp
220,100.079,1.415,26.226,14.01,4.537,0.999,09/14/24-21:36:27
221,100.071,3.397,31.033,18.204,1.094,0.999,09/14/24-21:38:37
222,100.068,1.916,29.771,16.305,0.763,0.999,09/14/24-21:40:47
223,100.081,5.024,31.762,17.744,1.026,0.999,09/14/24-21:42:57
224,100.073,5.62,33.366,18.173,1.148,0.999,09/14/24-21:45:07
225,100.076,5.392,31.271,18.897,1.088,0.999,09/14/24-21:47:17
226,100.08,2.123,31.258,17.233,1.052,0.999,09/14/24-21:49:27
227,100.067,1.428,29.309,13.356,2.402,0.999,09/14/24-21:51:38
228,100.092,1.873,30.932,18.188,1.483,0.999,09/14/24-21:53:48
229,100.077,2.994,30.373,18.08,1.062,0.999,09/14/24-21:55:58
230,100.077,2.697,31.625,18.177,1.104,0.999,09/14/24-21:58:08
231,100.085,4.523,33.954,18.654,1.198,0.999,09/14/24-22:00:18
232,100.073,2.425,31.269,18.136,1.249,0.999,09/14/24-22:02:28
233,100.071,3.805,33.501,18.517,1.212,0.999,09/14/24-22:04:38
234,100.072,2.866,28.561,16.836,0.974,0.999,09/14/24-22:06:48
235,100.069,1.824,28.247,16.447,1.003,0.999,09/14/24-22:08:59
236,100.068,1.582,28.917,16.142,0.815,0.999,09/14/24-22:11:09
237,100.075,4.73,37.918,18.13,1.027,0.999,09/14/24-22:13:19
238,100.073,3.544,30.523,17.579,0.969,0.999,09/14/24-22:15:29
239,100.069,2.971,30.118,16.772,0.861,0.999,09/14/24-22:17:39
240,100.083,1.942,31.127,17.87,1.116,0.999,09/14/24-22:19:49
241,100.076,0.994,28.786,12.415,4.471,0.999,09/14/24-22:21:59
242,100.077,2.652,28.444,15.912,0.738,0.999,09/14/24-22:24:10
243,100.074,1.94,30.872,17.476,1.031,0.999,09/14/24-22:26:20
244,100.079,1.434,26.546,11.296,3.276,0.999,09/14/24-22:28:30
245,100.077,5.109,31.505,18.029,1.005,0.999,09/14/24-22:30:40
246,100.073,2.237,28.823,14.102,0.682,0.999,09/14/24-22:32:50
247,100.067,1.997,35.109,16.001,0.823,0.999,09/14/24-22:35:00
248,100.078,4.368,31.705,18.277,1.104,0.999,09/14/24-22:37:10
249,100.076,4.889,31.352,18.404,1.196,0.999,09/14/24-22:39:20
250,100.082,0.986,33.655,14.149,4.3,0.999,09/14/24-22:41:31
251,100.077,2.698,28.979,16.361,1.202,0.999,09/14/24-22:43:41
252,100.085,3.804,36.123,17.917,0.947,0.999,09/14/24-22:45:51
253,100.081,1.65,29.797,15.271,1.912,0.999,09/14/24-22:48:01
254,100.075,1.279,33.472,14.969,4.708,0.999,09/14/24-22:50:11
255,100.077,1.294,20.739,11.845,3.39,0.999,09/14/24-22:52:21
256,100.081,5.37,34.075,19.123,1.237,0.999,09/14/24-22:54:31
257,100.077,3.824,31.086,18.404,1.115,0.999,09/14/24-22:56:42
258,100.065,1.143,35.566,15.468,1.152,0.999,09/14/24-22:58:52
259,100.077,2.323,221.867,18.718,1.575,0.999,09/14/24-23:01:02
260,100.076,3.289,30.393,17.457,1.187,0.999,09/14/24-23:03:12
261,100.071,2.657,30.583,17.881,1.109,0.999,09/14/24-23:05:22
262,100.076,3.335,46.752,16.787,0.859,0.999,09/14/24-23:07:32
263,100.076,4.68,31.148,19.282,1.24,0.999,09/14/24-23:09:42
264,100.078,2.429,30.613,17.8,1.196,0.999,09/14/24-23:11:52
265,100.071,1.198,28.853,13.17,4.325,0.999,09/14/24-23:14:03
266,100.073,2.196,37.386,16.875,0.915,0.999,09/14/24-23:16:13
